	H174CON1	H174CON2	HNF4AOE1	HNF4AOE2	HNF4GOE1	HNF4GOE2
Ccnyl1	394.757463662117	323.519061390657	583.728940317836	539.80603824288	685.752974350743	307.046098234169
Fzd5	3154.02126977098	3134.85875309554	3823.36959402153	3935.57556953984	2436.64952964108	1900.5094701046
Plekhm3	270.575448238995	308.162143919581	300.109229202955	252.651485940482	271.629424905165	208.226664319724
D630023F18Rik	19.182587748287	14.3331229730038	17.5888192939461	6.67801284424182	19.592942124307	16.7640111104862
Idh1	16321.3533441478	14644.3565004176	15592.4883040832	14472.3668356127	13288.467701672	11520.404898401
Pikfyve	734.995993723839	791.393147009422	620.0058801116	598.79515170035	681.300032958855	821.436544413826
Map2	176.681729260538	183.259215154834	86.8447952638589	81.2491562716088	97.0741223431572	85.5846883009035
Rpe	1603.2604918042	1553.09625357477	1465.36850742688	1531.49094561279	1423.16006884739	1322.59224497994
Kansl1l	120.143575897166	147.426407722324	103.334313351933	124.656239759181	83.7152981674933	166.757794730626
Acadl	4662.37843271523	4651.09840473972	4232.30964260578	4811.50825427623	3654.97429446162	4162.76865364601
Lancl1	402.834342714027	433.065072684328	386.954024466814	328.335631508556	467.558846148234	482.627056707157
Cps1	1.00960988148879	18.4283009652906	85.7454940579873	171.402329668873	16.0305890107966	7.94084736812507
Ikzf2	341.248139943211	421.80333320554	201.172120674509	284.928548020984	154.071772159323	337.927171332433
Bard1	85.8168399265471	66.5466423746604	107.73151817542	56.7631091760555	240.458835161949	89.113953797848
Abca12	850.09152021356	1112.86461940394	906.923494844096	1314.45552817493	253.817659337613	349.397284197503
Atic	2147.44021792665	1717.92716776431	2537.18718315173	1886.53862849831	4318.46256185293	2313.4335332471
Fn1	1257.97391233503	1444.57403677917	1176.25229028265	1646.13016610561	3192.75897798366	6461.20280853109
Mreg	4.03843952595516	2.0475889961434	10.9930120587163	2.22600428141394	20.4835304026845	1.76463274847224
Pecr	77.7399608746368	65.5228478765887	85.7454940579873	44.5200856282788	137.150594870149	143.817569000487
Xrcc5	605.765928893274	380.851553282672	596.920554788296	473.025909800462	1028.62946152611	530.272140915907
Smarcal1	345.286579469166	419.755744209396	350.67708467305	360.612693589058	422.138843950977	478.215474835976
Rpl37a	11345.995848171	11023.195360738	10586.2706125438	11390.4639079951	10155.3781383396	12915.3470860683
Igfbp2	0	0	0	8.90401712565576	5.34352967026553	2.64694912270836
Arpc2	15795.3465958921	17043.1070093996	15028.5467854711	16508.0477509658	13912.7700848147	13910.5999562066
Aamp	3246.90537886795	3031.4555087903	3029.67412338222	3226.59320590951	2918.45778824336	3183.39747824391
Pnkd	578.506462093076	636.800177800596	554.047807759302	654.445258735698	391.858842486139	529.389824541671
Tmbim1	6288.85995179367	6466.28604982084	5385.47660756512	5559.44569283131	6151.293238754	6980.00483658193
Ctdsp1	2825.89805828712	2780.62585676273	3486.98342502482	3521.53877319685	2444.66482414648	2427.25234552356
Vil1	25378.5635909837	26584.8717314278	35821.829094533	39691.882341892	22093.7140099912	17083.4096379597
Usp37	681.486670004933	670.585396236962	917.916506902812	1021.735965169	867.432983139771	603.504399977505
Cnot9	1087.34984236343	893.772596816592	1130.08163963604	1059.57803795304	1503.31301390137	900.845018095077
Zfp142	175.672119379049	173.021270174117	213.264433939097	210.357404593617	275.191778018675	183.521805841113
Bcs1l	218.075734401578	182.235420656762	196.774915851022	209.24440245291	274.301189740297	244.401635663405
Rnf25	244.325591320287	269.257952992857	253.938578556347	261.555503066138	296.565896699737	289.399770749447
Stk36	44.4228347855067	33.785218436366	19.7874217056894	13.3560256884836	37.4047076918587	29.1164403497919
Ttll4	414.949661291892	305.090760425366	446.316289583882	306.075588694417	846.949452737087	477.33315846174
Cyp27a1	19.182587748287	13.3093284749321	15.3902168822028	18.9210363920185	0	1.76463274847224
Wnt6	20.1921976297758	29.6900404440792	29.6811325585341	25.5990492362603	18.7023538459294	22.9402257301391
Wnt10a	9.0864889333991	13.3093284749321	8.79440964697305	3.33900642212091	1.78117655675518	43.2335023375698
Cdk5r2	0	3.07138349421509	1.09930120587163	12.2430235477767	5.34352967026553	3.52926549694447
Fev	18.1729778667982	5.11897249035849	8.79440964697305	27.8250535176742	3.56235311351035	4.41158187118059
Ihh	778.409218627856	849.749433399509	1661.04412207204	2420.77965603766	545.930614645462	961.724847917369
Nhej1	39.3747853780628	41.9755744209396	81.3482892345007	76.7971477087809	62.3411794864312	44.1158187118059
Slc23a3	69.6630818227265	75.7607928573056	67.0573735581695	33.3900642212091	122.901182416107	45.8804514602782
Cnppd1	1532.58780009998	1553.09625357477	1610.47626660194	1800.83746366388	1205.85652892326	1703.75291864994
Retreg2	2578.54363732237	3049.88380975559	2575.66272535723	2899.37057654166	1841.73655968485	2473.13279698384
Zfand2b	554.275824937345	613.252904344947	571.636627053248	607.699168826005	406.10825494018	574.387959627713
Abcb6	22.2114173927534	33.785218436366	16.4895180880745	33.3900642212091	14.2494124540414	31.7633894725003
Atg9a	1607.29893133015	1697.45127780287	1547.81609786726	1540.39496273845	974.303576545082	1349.94405258126
Ankzf1	588.602560907964	626.562232819879	554.047807759302	585.439126011866	498.72943589145	853.199933886326
Glb1l	73.7015213486816	57.3324918920151	61.5608675288114	80.1361541309018	63.2317677648088	52.056666079931
Stk16	1065.13842497067	975.676156662328	1427.99226642725	1320.02053887847	1463.23654137438	952.019367800772
Tuba4a	3225.70357135668	2989.47993436936	3090.13568970516	3109.72798113527	4741.49199408228	3441.9161758951
A630095N17Rik	1.00960988148879	0	3.29790361761489	4.45200856282788	8.0152945053983	7.94084736812507
Dnajb2	1160.04175383062	1183.50643977088	930.0088201674	995.023913792031	745.422389002042	1213.18501457466
Ptprn	5.04804940744395	1.0237944980717	9.89371085284468	12.2430235477767	6.23411794864312	16.7640111104862
Dnpep	2636.09140056723	2779.60206226466	2685.5928459444	2990.63675207963	1831.9400886227	2990.17019228621
Gmppa	1146.91682537126	1037.10382654663	1174.0536878709	1246.56239759181	965.397693761306	1262.59473153189
Chpf	528.025968018637	507.802071043562	687.06325366977	560.953078916313	824.684745777647	464.098412848198
Obsl1	27.2594668001973	35.8328074325094	19.7874217056894	10.0170192663627	49.872943589145	48.5274005829865
Tmem198	4.03843952595516	17.4045064672189	12.0923132645879	20.0340385327255	12.4682358972862	9.7054801165973
Inha	8.07687905191031	9.21415048264528	2.19860241174326	3.33900642212091	8.90588278377589	22.9402257301391
Stk11ip	509.852990151839	425.898511197826	528.763880024255	542.032042524294	513.869436623869	426.158808756045
Slc4a3	77.7399608746368	48.1183414093698	18.6881204998177	26.7120513769673	47.2011787540122	108.524914031043
Epha4	1492.20340484043	1275.64794459734	1243.30966384082	1021.735965169	1712.6012593201	1199.95026896112
Sgpp2	3286.28016424601	3079.57385019967	3236.34275008608	3137.55303465295	2363.62129081412	2411.37065078731
Farsb	1188.3108305123	985.914101643045	1241.11106142907	1045.10901012384	1762.47420290925	1130.24727539647
Acsl3	5404.44169560949	5573.53724750232	4319.15443786964	5225.54505061922	3218.58603805661	6448.85037929179
Utp14b	493.699232048018	449.445784653475	629.899590964445	647.767245891456	616.287088637291	441.158187118059
Scg2	13.1249284593543	10.237944980717	15.3902168822028	23.3730449548464	4.45294139188794	3.52926549694447
Ap1s3	1748.64431473858	1680.04677133566	1445.5810857212	1443.56377649694	1367.0530073096	1453.17506836689
Wdfy1	270.575448238995	315.328705406083	241.846265291759	303.849584413003	232.443540656551	439.393554369587
Mrpl44	609.804368419229	635.776383302524	627.700988552702	513.093986865913	681.300032958855	574.387959627713
Serpine2	11.1057086963767	4.09517799228679	15.3902168822028	2.22600428141394	16.0305890107966	31.7633894725003
