	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
CLTC	11329.1205595513	9250.50204157572	11875.3533104107	9824.02889384649	7879.03858901482	7783.07455675395	8029.48398049669	7624.23707019654	9874.76483165616	9544.07763056161
PTRH2	279.766259764426	230.908668023265	184.287854147928	205.206655274099	438.155743018563	383.173261192021	228.056349741918	228.877689533221	344.668929551699	283.83501150157
VMP1	2057.27108190406	2156.91698329778	2132.4737408546	2252.47865999467	7013.81965343386	6914.0545362052	3414.19360259463	4239.25650394207	3966.92396105908	5485.1366710321
TUBD1	46.1567229914372	56.6212825804176	65.329556761435	60.4113050573283	106.488484379195	92.0886014467012	63.6657309696188	46.1770777128428	35.5439833600189	49.1445779631693
RPS6KB1	365.485888177095	325.572374837401	394.902544602704	408.49549134003	500.274025573093	444.565662156488	466.56528218034	386.482063466184	392.060907365057	419.233338542954
RNFT1	58.4023841932471	78.7389710883932	64.3544887500703	91.0964123880348	422.62617237993	496.431656074745	119.729583614507	139.535082654025	128.173758177038	169.4986464444
HEATR6	88.5455502284714	68.1224806045649	112.132821306941	116.986971698318	63.2275376001471	42.3395868720465	91.2225398967672	44.1693786818496	74.319237934585	51.1504791045231
CA4	82.8937065968668	182.249753305719	53.6287406250586	110.274604469726	362.726399916633	1077.54248589358	130.182166311011	350.343480908307	59.2399722666982	309.91172633917
USP32	791.258108424638	652.91416475544	687.422948012114	651.099621173428	505.820300801177	526.069366885178	536.882656684098	524.009447089216	557.932829711812	479.41037278357
APPBP2	612.283060090494	586.561099231513	537.26247426195	497.674084519895	918.463177770557	743.059749604416	560.638526448882	588.255816080997	528.851388780887	561.652319579078
PPM1D	195.930579228958	215.868639837842	195.988670284305	245.480858645652	308.372902681419	188.411161580607	280.319263224441	280.074014823546	322.050031049868	279.823209218862
BCAS3	65.9381757020532	89.3554615722215	54.6038086364233	60.4113050573283	48.8072220071311	42.3395868720465	50.3624439013402	40.1539806198633	29.0814409309246	35.1032699736924
BRIP1	54.6344884388441	64.5836504432888	61.4292847159762	99.726598824796	51.0257320983643	83.6206840722919	54.1633830637055	97.3734030031685	54.931610647302	190.560608428616
INTS2	278.824285825825	250.372233910284	309.09655960261	298.220886870303	255.128660491821	303.786535806934	209.051653930091	228.877689533221	227.266075423151	183.539954433877
MED13	1818.95167543807	1618.1300912435	1815.57663716107	1768.22930993196	1569.59588954751	1379.21204235691	1965.08554694286	1906.31022992801	1733.03846140213	1986.84508051099
METTL2A	327.806930633064	350.344185966334	303.246151534422	338.495090241856	363.83565496225	275.207314668302	230.907054113692	274.050917730567	336.052206312906	353.038600878277
TLK2	681.047157608349	708.650739795539	819.057129546349	748.908400790055	798.663632843963	717.655997481188	1000.59723449266	1061.06893787989	993.077353270831	1102.24267717394
TANC2	104.559107184684	64.5836504432888	195.988670284305	146.71316942494	322.793218274435	244.511114186069	135.883575054559	138.531233138528	190.645001658283	89.2626007902463
